objectid_1	objectid	acreage	sqft	final_cat	type_	sector	origpkname	updatepknm	alterntnam	divname	shape_leng	globalid	created_user	created_date	last_edited_user	last_edited_date	maintenanceresponsibility	Shape__Area	Shape__Length	GlobalID_2
194	194	2.20776518	96170.25109	Neighborhood Park	NP	10	Wightman Playground	Wightman Park	Wightman Park	Eastern	1305.908097	9073e51f-4d78-42ff-8fc0-97344d058d0e	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Eastern	9.48E-07	0.004312061	df7d23a5-7941-419c-b49b-b7efd13e3226
195	195	0.05965963	2598.773612	Beautification Site	BTF	10	Windermere Circle 1 & 2	Windermere Circle 1 & 2	Windermere Circle 1 & 2	Eastern	286.3803729	c486c01d-a722-4530-8c78-9f4a243b4d7f	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	3rd Division	2.56E-08	0.000924292	4a885c76-8f8c-44ff-aed2-648f5c469f03
196	196	2.69098145	117219.152	Neighborhood Park	NP	7	Winters Playground	Winters Park	Winters Park	Southern	1961.472022	39be7594-ab5d-43e6-a152-a1cb6ec627ee	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Southern	1.16E-06	0.006148106	10cda3fa-143d-4c95-8622-8027b731990f
197	197	0.27563174	12006.51877	Neighborhood Park	NP	2	Woods Run Tot Lot	Woods Run Park	Woods Run Park	Northern	450.3520093	9b77f597-274e-44fa-8814-54660d31e924	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	1.18E-07	0.001479624	65175f8b-b527-4c98-927e-32a8f5f16872
198	198	3.07508908	133950.8802	Neighborhood Park	NP	2	Young Field	Young Field Park	Young Park	Northern	1666.071794	9b969f67-1f2e-4f4b-8556-e4ac49ca208e	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	1.32E-06	0.005576154	bd700edd-5a4f-491a-9c5e-0798c7d855d3
199	199	0.72724319	31678.71327	Beautification Site	BTF	14	Zulema Passive Area	Zulema Park	Zulema Passive Area	Schenley	816.8407501	9b0e7c16-0d06-44a7-96ba-f616bd7d0fdb	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Schenley	3.12E-07	0.002712013	f89503bd-e714-405c-9a2a-b390f5a49b8f
200	200	0.57530656	25060.35381	Riverfront Park	RVR	16	Alcoa Park	Alcoa Park	Alcoa Park	State	912.328695	66d69aea-4c7d-4aac-8aa6-9c7ef7453247	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	2.47E-07	0.003110808	83fbae3b-c931-467a-87dd-3917bbbbd754
201	201	61.52176943	2679888.276	Regional Park	RP	6	Duquesne Heights Greenway	Emerald View Park - Duquesne Heights Greenway	Emerald View Regional Park (Duquesne Heights Greenway)	Western	28271.46514	32e0f94b-541f-421b-b9cb-570b3b856d2e	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	2.64E-05	0.089616421	28d9c128-d4a5-4c09-9675-76d1ab333149
202	202	97.40074883	4242776.619	Regional Park	RP	6	Other Undesignated Property	Emerald View Regional Park	Emerald View Regional Park	Western	69193.61537	9eadaba3-1096-43fe-8237-adca8c01c9e0	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z		4.75E-05	0.224310607	65443124-a213-4e62-aeed-b46180dee067
203	203	0.26539512	11560.61135	Neighborhood Park	NP	1	Lookout St Parklet	Lookout Street Park	Lookout Street Park	Northern	428.2736128	cf15f763-5076-4f31-875f-93d14fdd8a03	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	1.14E-07	0.001396999	502985c0-d416-485c-b352-c738f1f324da
204	204	0.6486825	28256.60992	Neighborhood Park	NP	4	Townsend Parklet	Townsend Park	Townsend Park	Western	669.5350464	446d0fe8-1532-4253-8258-fcb5c0677421	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	2.79E-07	0.002145463	74bb7857-d96c-457b-8eb0-6947300dc50c
205	205	0.09741586	4243.434751	Neighborhood Park	NP	14	Dunseith Tot Lot (Shalane's Play Yard)	Shalane's Play Yard Park	Dunseith Park (Shalane's Play Yard)	Schenley	262.0669419	9177883a-579b-4f61-a9a2-8be643b68407	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Schenley	4.18E-08	0.000823249	a592ffa9-9a56-4544-86f4-87e8cabaac29
206	206	6.41791571	279564.4084	Neighborhood Park	NP	1	Spring Hill Playground	Spring Hill Park	Spring Hill Park	Northern	2401.525218	1be984a8-ff8e-4e15-baaf-ba53e2fac8c3	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	2.76E-06	0.007886694	a86d02be-b2b4-4482-b0cc-f131476f244c
207	207	1.48027964	64480.98127	Neighborhood Park	NP	5	Tropical Parklet	Tropical Park	Tropical Park	Western	1057.285764	96b7ba58-af4f-4803-a06a-ee46a0219b12	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	6.36E-07	0.003423214	dfd635ad-a896-4d71-b674-af961e20c1e9
208	208	6.07938815	264818.1476	Neighborhood Park	NP	5	Vanucci Field	Vanucci Park	Vanucci Park	Western	2391.382596	19b0ba76-3aad-4e9f-9174-18013f454a6d	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	2.61E-06	0.007931197	ea9fd53d-f628-42ed-bbf5-dfaba600487b
209	209	1.61335072	70277.27614	Beautification Site	BTF	16	Fort Duquesne Blvd Strip	Fort Duquesne Blvd Strip	Fort Duquesne Blvd Strip	State	8077.472996	683f2117-5293-470b-89bd-a70f4e6775bd	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	6th Division	6.93E-07	0.027963345	b0f826e1-19f2-4e93-a42e-f8b6a93b3bd1
210	211	0.56902442	24786.60469	Neighborhood Park	NP	1	Troy Hill Citzen's Park	Troy Hill Citzen's Park	Troy Hill Citzen's Park	Northern	708.6979499	c4abaefd-877d-4c42-b588-60a126ebfa5a	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	2.45E-07	0.002268785	74819928-5230-423d-a064-20c734b32a05
211	212	1.21485146	52918.71807	Community Park	CP	4	Tuxedo Street Skate Park	Tuxedo Street Skate Park	Tuxedo Street Skate Park	Western	898.4716215	d54d5c1a-2212-4d36-8d4a-11f7d43e3c7f	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	5.22E-07	0.002829986	88000834-47d3-47c6-949c-f3e467d5c215
212	213	1.82649178	79561.66381	Community Park	CP	2	Garvin Park	Garvin Park	Garvin Park	Northern	1257.129053	ab7d15a3-5b0e-443c-bf14-dcd01d68da59	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	7.85E-07	0.004077057	adcc9d08-82f6-43e2-9e1a-ecae917f1c11
